"","x"
"1",0.9425
"2",0.9466
"3",0.942
"4",0.9386
"5",0.9455
"6",0.9471
"7",0.9447
"8",0.9467
"9",0.9448
"10",0.9483
"11",0.9441
"12",0.9474
"13",0.9502
"14",0.9439
"15",0.9433
"16",0.947
"17",0.9453
"18",0.938
"19",0.9438
